SYMBOL ENSEMBL HOCOID
ZNF200 ENSG00000010539 M00217.2.00.ZNF200
KLF1 ENSG00000105610 M00223.2.00.KLF1
BCL6 ENSG00000113916 M00227.2.00.BCL6
EGR2 ENSG00000122877 M00229.2.00.EGR2
OVOL2 ENSG00000125850 M00234.2.00.OVOL2
GFI1 ENSG00000162676 M00236.2.00.GFI1
GFI1B ENSG00000165702 M00239.2.00.GFI1B
KLF11 ENSG00000172059 M00241.2.00.KLF11
ZNF655 ENSG00000197343 M00250.2.00.ZNF655
FOXC1 ENSG00000054598 M00253.2.00.FOXC1
FOXS1 ENSG00000179772 M00257.2.00.FOXS1
ARX ENSG00000004848 M00260.2.00.ARX
VSX1 ENSG00000100987 M00266.2.00.VSX1
PBX4 ENSG00000105717 M00276.2.00.PBX4
VAX2 ENSG00000116035 M00283.2.00.VAX2
VSX2 ENSG00000119614 M00285.2.00.VSX2
MSX2 ENSG00000120149 M00288.2.00.MSX2
ESX1 ENSG00000123576 M00291.2.00.ESX1
HOXD13 ENSG00000128714 M00293.2.00.HOXD13
NKX2.8 ENSG00000136327 M00301.2.00.NKX2.8
VENTX ENSG00000151650 M00303.2.00.VENTX
HESX1 ENSG00000163666 M00306.2.00.HESX1
PITX2 ENSG00000164093 M00310.2.00.PITX2
PROP1 ENSG00000175325 M00315.2.00.PROP1
SEBOX ENSG00000274529 M00317.2.00.SEBOX
ISX ENSG00000175329 M00318.2.00.ISX
NKX2.5 ENSG00000183072 M00320.2.00.NKX2.5
SIX6 ENSG00000184302 M00325.2.00.SIX6
PAX6 ENSG00000007372 M00335.2.00.PAX6
PAX7 ENSG00000009709 M00345.2.00.PAX7
PAX4 ENSG00000106331 M00347.2.00.PAX4
POU6F2 ENSG00000106536 M00362.2.00.POU6F2
NR1H4 ENSG00000012504 M00367.2.00.NR1H4
NR1H3 ENSG00000025434 M00368.2.00.NR1H3
NR2E3 ENSG00000278570 M00369.2.00.NR2E3
POU2F1 ENSG00000143190 M00377.2.00.POU2F1
RBPJ ENSG00000168214 M00735.2.00.RBPJ
FOXP1 ENSG00000114861 M00836.2.00.FOXP1
MAX ENSG00000125952 M00938.2.00.MAX
